title,company_name,location,start_date,duration,stipend,ppo,workmode,region,domain,skills,deadline,degree
Social Media Marketing,The News Insight,Work From Home,Immediately,2,5000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-09-12,MA
Digital Marketing,Misui India,Work From Home,Immediately,2,5000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-11-28,MA
Graphic Design,ZAP Cricket,Work From Home,Immediately,2,7000,No,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-10-21,BCom
International Business Development,Kimcc Services Private Limited,Work From Home,Immediately,2,12000,Yes,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication, MS Excel, Research",2025-11-05,MCA
Law/Legal,Scandiya,Work From Home,Immediately,2,8000,No,Onsite,Rural,Legal & Compliance,"Legal Research, Compliance, Drafting, Documentation",2025-09-23,MSc
Film Making - Art Gallery,APRE Art House,Mumbai,Immediately,2,4000,Yes,Hybrid,Urban,Research,"Communication, MS Excel, Research",2025-11-29,MCom
Digital Dreamweaver: Internship Odyssey In Graphic Design,Global Trend,Work From Home,Immediately,2,7000,No,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva, Communication, MS Excel",2025-10-22,MBA
AI Developer,Yardstick,Work From Home,Immediately,2,5000,Yes,Remote,Urban,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",2025-10-14,MSc
Executive Assistant,Dragon Fruit Studio,Work From Home,Immediately,2,3000,No,Remote,Rural,Research,"Communication, MS Excel, Research",2025-11-22,BBA
Teaching Volunteer,Swachhpan,Work From Home,Immediately,2,Unpaid,No,Onsite,Rural,Marketing,"Teaching, Lesson Planning, Communication, Mentoring",2025-09-13,BCom
E-commerce Order Management,Master Home Appliances,Work From Home,Immediately,2,2000,Yes,Onsite,Urban,Marketing,"E-commerce Management, Product Listing, SEO, Digital Marketing",2025-11-13,BBA
Business Development (Sales),AzSm Enterprises,Bangalore,Immediately,2,5000,No,Hybrid,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-09-19,BSc
Business Development,Techworth Technologies Private Limited,Kolkata,Immediately,2,2000,No,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-11-18,BCA
Basketball Content Writing,The SportsLite,Work From Home,Immediately,2,1000,No,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-11-07,MTech
Accounting & MIS,P.R. GLolinks Consulting,Chennai,Immediately,2,10000,Yes,Remote,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",2025-10-22,BCom
Marketing Project,Nirmano Tech-Health,Work From Home,Immediately,2,3000,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, PR Strategy, Media Relations",2025-10-22,BBA
News Writing- Indian Stock Market,Alien Investor,Work From Home,Immediately,2,4500,Yes,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-11-10,MTech
Administration,Househat,Pune,Immediately,2,7500,No,Remote,Rural,Research,"Communication, MS Excel, Research",2025-11-26,MCom
Web Development,365Build Technologies (I) Private Limited,Bangalore,Immediately,2,16000,Yes,Hybrid,Urban,Web Development,"HTML, CSS, JavaScript, React",2025-11-29,MTech
Marketing,Siksha Helpline,Work From Home,Immediately,2,1000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-09-29,MA
Customer Acquisition,EDUHOLIC,Work From Home,Immediately,2,2000,Yes,Remote,Urban,Design,"UI Design, UX Research, Figma, Prototyping",2025-10-16,BA
Content Writing,Websunn - Online Grocery Shopping Store,Work From Home,Immediately,2,3000,Yes,Remote,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-09-27,PhD
Human Resources (HR),Youth Empowerment Foundation,Work From Home,Immediately,2,Unpaid,Yes,Onsite,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-21,BCom
Virtual Assistance,Paathshala Spark,Work From Home,Immediately,2,7000,No,Onsite,Urban,Research,"Communication, MS Excel, Research",2025-10-05,MBA
Social Media Marketing,Oligosoft Corporation,Bangalore,Immediately,2,5000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-10-24,MBA
Content Writing,Nacional Think Tank Pvt Ltd,Delhi,Immediately,2,3000,Yes,Remote,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-09-10,PhD
Office Executive/Merchandising,The Indian Extension Company,Kanpur,Immediately,2,8000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",2025-11-13,BCom
Marketing,Bharat Cabs,Work From Home,Immediately,2, 250 /week ,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-10-12,BBA
Building Information Modelling,AECONS INFOTECH PVT LTD,Dehradun,Immediately,2,5000,Yes,Onsite,Rural,Design,"UI Design, UX Research, Figma, Prototyping",2025-10-05,MBA
Graphic Design,Samarpan,Work From Home,Immediately,2,Unpaid,Yes,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-11-01,MBA
Sales Trainee,AIO HR Consultancy Services,Ahmedabad,Immediately,2,12000,Yes,Hybrid,Urban,Marketing,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis, Sales, Lead Generation",2025-11-04,BTech
Field Promotion,BookAMed,Kochi,Immediately,2,17600,Yes,Onsite,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",2025-09-27,MCom
UI/UX Design,Think Of It Foundation,Work From Home,Immediately,2,Unpaid,No,Hybrid,Urban,Design & Creative,"UI Design, UX Research, Figma, Prototyping",2025-09-11,MBA
Subject Matter Expert (Chemistry),Solvitude,Work From Home,Immediately,2,4000,No,Onsite,Urban,Research,"Communication, MS Excel, Research",2025-11-27,BCom
Subject Matter Expert (Physics),Solvitude,Work From Home,Immediately,2,4000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",2025-10-16,BBA
Marketing,Unlisted,Work From Home,Immediately,2,10000,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-10-16,BBA
Business Development (Sales),BerryCent India Private Limited,Kolkata,Immediately,2,5000,No,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-10-18,BCA
Teaching,Kumkum Foundation,Noida,Immediately,2,2000,No,Remote,Rural,HR,"Teaching, Lesson Planning, Communication, Mentoring",2025-10-28,BBA
Graphic Design,Arcatron Mobility Private Limited,Work From Home,Immediately,2,40000,No,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-10-06,MCom
Business Development (Sales),Think Of It Foundation,Work From Home,Immediately,2,Unpaid,Yes,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-09-27,BTech
Human Resources (HR),DevTown,Work From Home,Immediately,2,5000,Yes,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-11,MBA
Subject Matter Expert (Mathematics),Solvitude,Work From Home,Immediately,2,4000,Yes,Remote,Rural,Research,"Communication, MS Excel, Research",2025-11-24,MCom
Graphic Design,Crrescita,Delhi,Immediately,2,10000,Yes,Hybrid,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-09-16,MBA
Sales And Marketing,Black Key Tunes LLP,Mumbai,Immediately,2,7000,No,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",2025-11-12,MBA
Human Resources (HR),Hir'd Services Private Limited,Indore,Immediately,2,10000,Yes,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-11-23,BCom
International Sales & Marketing (E-Commerce),Hvantage Technologies Incorporated,Indore,Immediately,2,3000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",2025-12-05,BBA
Angular Development,IKick Enterprise LLP,Work From Home,Immediately,2,15000,Yes,Onsite,Urban,Software Development,"HTML, CSS, JavaScript, React",2025-09-21,BSc
Social Media Management,PULSECRAFTS SOLUTIONS PRIVATE LIMITED,Work From Home,Immediately,2,3000,Yes,Onsite,Rural,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",2025-11-21,MA
React Native Mobile Application Full Stack Development IOS,Spacesnap,Work From Home,Immediately,2,9000,Yes,Remote,Rural,Web Development,"HTML, CSS, JavaScript, React, Mobile App Development, Java/Kotlin",2025-10-28,BSc
Digital Marketing,BetX,Work From Home,Immediately,2,3000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-09-21,BA
Human Resources (HR),ESMSYS,Ahmedabad,Immediately,2,8000,Yes,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-10-15,MCom
Digital Marketing,Leela Travels,Delhi,Immediately,2,5000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-09-11,BBA
Marketing,Pinacle Web India,Thane,Immediately,2,3000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-09-16,BA
Business Development (Sales),DaGiants Media,Work From Home,Immediately,2,1000,Yes,Remote,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-10-08,MSc
Learning Advisor- Inside Sales,DigitalPanda.in,Work From Home,Immediately,2,15000,Yes,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-12-01,BCom
UI/UX Design,Blackcoffer,Work From Home,Immediately,2,5000,Yes,Remote,Urban,Design & Creative,"UI Design, UX Research, Figma, Prototyping",2025-09-15,MA
Marketing,Blackcoffer,Work From Home,Immediately,2,5000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-11-13,MA
Equity Analyst,Fin Intern,Work From Home,Immediately,2,1000,Yes,Remote,Rural,Design,"UI Design, UX Research, Figma, Prototyping",2025-09-20,MA
"Stock Market Operations, Research, Data Analysis & Marketing",Panoramic Management & Consulting Private Limited,Pune,Immediately,2,3000,Yes,Remote,Urban,Marketing,"Python, Data Analysis, SQL, Statistics, Data Visualization, Digital Marketing",2025-11-21,BTech
Business Development (Sales),PlanThyBusiness.com,Work From Home,Immediately,2,8000,No,Onsite,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-12-01,MTech
Research,Maharaj Engineering,Work From Home,Immediately,2,1600,No,Hybrid,Rural,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",2025-11-17,MBA
Human Resources (HR),Blackcoffer,Work From Home,Immediately,6,5000,Yes,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-18,BCom
Graphic Design,Vaince Cosmetics Private Limited,Mumbai,Immediately,6,10000,No,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-10-11,MBA
Investment,Future Invest,Mumbai,Immediately,6,2000,No,Hybrid,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",2025-10-08,MBA
Recruitment,Zyvka Global Services,Noida,Immediately,6,7000,Yes,Onsite,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",2025-11-05,MA
Graphic Design,Future Gurukuls Edutech Private Limited,Work From Home,Immediately,6,3500,No,Hybrid,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-10-09,MBA
Anchoring,Harsh Priyam,Work From Home,Immediately,6,10000,Yes,Remote,Urban,Research,"Communication, MS Excel, Research",2025-11-19,BBA
Graphic Design,Funberry Foods Private Limited  (TROFFINO),Mumbai,Immediately,6,5000,No,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-12-05,MCom
Video Making/Editing,Travel Secrets Magazine,Work From Home,Immediately,6,5000,No,Onsite,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",2025-09-30,BA
Graphic Design,PeaceInfotech Services Private Limited,Mumbai,Immediately,6,5000,No,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-11-29,BCom
Admin Assistance,Faiyda,Mumbai,Immediately,6,12000,Yes,Remote,Rural,Research,"Communication, MS Excel, Research",2025-11-03,BCom
Digital Marketing,Crescent Buildtech,Bangalore,Immediately,6,15000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-10-24,BA
Human Resources (HR),Webhawkers,Mumbai,Immediately,6,6000,Yes,Onsite,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-10-23,MCom
Search Engine Optimization (SEO),The Night Marketer,Work From Home,Immediately,6,5000,No,Onsite,Urban,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",2025-11-29,BBA
Search Engine Optimization (SEO),Performious Media & Advertising Private Limited,Mumbai,Immediately,6,5000,Yes,Onsite,Rural,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",2025-11-25,MBA
Human Resources (HR),CEFINSIGHTS,Work From Home,Immediately,6,2000,Yes,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-12-02,MBA
Lead Generation,Kaustubh House Planning And Architect,Work From Home,Immediately,6,1000,No,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-11-12,MCom
Video Editing,RuDe Labs Private Limited,Work From Home,Immediately,6,7000,No,Remote,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",2025-09-17,MBA
Architecture & Design Consultancy Services,Setu Design Studio,Delhi,Immediately,6,9000,No,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-11-14,MCom
Marketing,UrbanMatrix Technologies Private Limited,Bangalore,Immediately,6,10000,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-11-21,BBA
Telecalling,MIDIND Industrial Development Limited,Navi Mumbai,Immediately,6,7000,Yes,Onsite,Rural,Outreach & Client Relations,"Communication, MS Excel, Research",2025-11-06,BCom
Business Management,IC Solutions,Work From Home,Immediately,6,5000,No,Onsite,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-11-16,MCom
Founder's Office,OD Alternatives,Work From Home,Immediately,6,10000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",2025-10-02,MCom
Business Development (Marketing & Sales),For Tomorrow Group Of Education And Training,Dehradun,Immediately,6,10000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",2025-09-27,MCA
Video Making/Editing,Spade Entertainment,Pune,Immediately,6,$ 100 ,Yes,Remote,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",2025-09-30,MBA
Software Development (Node.js),STEMpedia,Ahmedabad,Immediately,6,8000,Yes,Remote,Urban,Data Science,"Node.js, APIs, Databases, Server-side Development",2025-09-27,BTech
Finance,ADSMIT MEDIA,Work From Home,Immediately,6,5000,Yes,Hybrid,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",2025-11-22,BCom
Sales & Marketing,Tata Group (IHCL),Agra,Immediately,6,5000,No,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",2025-12-05,MA
Content Writing,Klient Boost,Work From Home,Immediately,6,2000,Yes,Hybrid,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-11-07,MSc
Data Analysis,ReleaseMyAd Media Private Limited,Kolkata,Immediately,6,20000,No,Remote,Urban,Research & Strategy,"Python, Data Analysis, SQL, Statistics, Data Visualization",2025-10-24,MSc
Content Development For YouTube & Instagram,D.J. Consultants,Indore,Immediately,6,5000,Yes,Remote,Urban,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management, Content Writing, Editing",2025-10-26,BTech
WordPress Development,STEMpedia,Ahmedabad,Immediately,6,6000,Yes,Hybrid,Urban,Web Development,"PR Strategy, Media Relations, Communication, Writing",2025-11-05,BCA
Acting,Postvila,Work From Home,Immediately,6,22000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",2025-11-08,BBA
Growth Product Management,IGrameen Emarket Platform LLP,Mumbai,Immediately,6,10000,No,Onsite,Rural,Research & Strategy,"PR Strategy, Media Relations, Communication, Writing",2025-11-21,MCom
Data Entry,Vecmocon Technologies,Delhi,Immediately,6,7000,Yes,Hybrid,Urban,Data Science,"Communication, MS Excel, Research",2025-09-24,MBA
Content Editing,Anfield Home,Work From Home,Immediately,6,1000,No,Onsite,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-11-13,MSc
Podcast Editing,Chezuba Private Limited,Hyderabad,Immediately,6,12000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",2025-12-06,MBA
Business Development (Marketing),NEXT IAS,Work From Home,Immediately,6,4000,Yes,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",2025-11-27,BSc
Search Engine Optimization (SEO),The Yellow Spot,Mumbai,Immediately,6,5000,Yes,Remote,Urban,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",2025-12-06,BBA
Tele Sale,Quantumnts Technical Services Private Limited,Noida,Immediately,6,14000,No,Remote,Rural,Research,"Communication, MS Excel, Research",2025-09-29,MBA
WordPress Development,Million Minds Management Services Limited,Bangalore,Immediately,6,10000,Yes,Hybrid,Rural,Web Development,"PR Strategy, Media Relations, Communication, Writing",2025-10-11,MSc
Video Making/Editing,Rashmi Suthar,Work From Home,Immediately,6,6000,Yes,Remote,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",2025-09-20,MA
Social Media Marketing,Silly Saturday,Mumbai,Immediately,6,3000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-10-26,MBA
Social Media Marketing,Colonelz SharpShooterz,Chandigarh,Immediately,6,8000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-09-20,BBA
Management (Digital),Mio Design Private Limited,Mumbai,Immediately,6,10000,Yes,Hybrid,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-11-26,MBA
Law/Legal,Legal Icons,Delhi,Immediately,6,Unpaid,Yes,Remote,Urban,Legal & Compliance,"Legal Research, Compliance, Drafting, Documentation",2025-11-30,MTech
Software Development (ReactJS),STEMpedia,Ahmedabad,Immediately,6,8000,Yes,Onsite,Rural,Software Development,"HTML, CSS, JavaScript, React",2025-10-28,BSc
Instagram Marketing,MyLittleMoppet,Work From Home,Immediately,6,3000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-10-05,MA
Full Stack React Development,Westinbridge Consulting Private Limited,Work From Home,Immediately,6,10000,No,Remote,Rural,Software Development,"HTML, CSS, JavaScript, React",2025-11-01,BSc
Sales,Seven Beans Coffee Company,Bangalore,Immediately,6,10000,Yes,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-10-31,BCom
Telecalling,Highway Delite,Work From Home,Immediately,6,8000,Yes,Hybrid,Urban,Outreach & Client Relations,"Communication, MS Excel, Research",2025-11-17,MBA
Video Making/Editing,Srigiri Solutions,Work From Home,Immediately,6,4000,Yes,Remote,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",2025-10-18,BA
Architecture,Design Ahead,Delhi,Immediately,6,14000,Yes,Onsite,Urban,Architecture & Design,"Communication, MS Excel, Research",2025-11-18,MBA
Digital Marketing,Eduminatti,Dehradun,Immediately,6,2000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-11-23,BA
Quantitative Analytics,Quantom Research Capital,Noida,Immediately,6,10000,No,Remote,Urban,Research & Strategy,"Python, Data Analysis, SQL, Statistics, Data Visualization",2025-11-17,MCA
Media And Public Relations (PR),Eduminatti,Dehradun,Immediately,6,5000,No,Remote,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",2025-11-19,BCom
Human Resources (HR),Eduminatti,Dehradun,Immediately,6,2000,Yes,Onsite,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-12-05,MBA
Business Development (Sales),Aim High HR Services,Work From Home,Immediately,6,3000,No,Remote,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-10-26,BTech
Operations,Eduminatti,Dehradun,Immediately,6,2000,No,Remote,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-10-30,MBA
Content Writing,Eduminatti,Dehradun,Immediately,6,5000,No,Hybrid,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-11-23,MSc
Social Media Marketing,Eduminatti,Dehradun,Immediately,6,5000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-09-23,BA
Photography,Eduminatti,Dehradun,Immediately,6,8000,No,Onsite,Urban,Media & Entertainment,"Photography, Lightroom, Photoshop, Editing",2025-10-10,BSc
Mathematics Video Solutions (English),QA Solvers,Work From Home,Immediately,6,8000,No,Remote,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",2025-11-20,MBA
Recruitment,Misuraa Projects LLP,Work From Home,Immediately,6,8000,Yes,Hybrid,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",2025-10-15,MBA
Physics Video Solutions (English),QA Solvers,Work From Home,Immediately,6,8000,No,Hybrid,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",2025-10-25,MBA
Social Media Marketing (Instagram),Notedly,Work From Home,Immediately,6,1000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-09-30,BA
Video Making/Editing,Eduminatti,Dehradun,Immediately,6,4000,Yes,Onsite,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",2025-09-23,MBA
Maths,Eduminatti,Dehradun,Immediately,6,3000,No,Remote,Rural,Research,"Communication, MS Excel, Research",2025-11-21,BCom
React JS Development,Qriocity Ventures Private Limited,Work From Home,Immediately,6,10000,No,Hybrid,Rural,Software Development,"HTML, CSS, JavaScript, React",2025-10-22,MSc
MERN Stack Development,Qriocity Ventures Private Limited,Work From Home,Immediately,6,10000,Yes,Onsite,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",2025-11-02,MTech
Search Engine Optimization (SEO),Qriocity Ventures Private Limited,Work From Home,Immediately,6,10000,Yes,Onsite,Rural,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",2025-11-09,MBA
Graphic Design,Operant Pharmacy Federation,Work From Home,Immediately,6,2000,No,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-12-07,MCom
Artificial Intelligence (AI) - Subject Matter Expert,House Of Couton Private Limited,Work From Home,Immediately,6,10000,No,Hybrid,Rural,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",2025-11-27,BCA
Informative Reel Creation,Top Talent Bridge,Work From Home,Immediately,6,5000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",2025-09-30,BBA
Digital Marketing,Top Talent Bridge,Work From Home,Immediately,6,5000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-11-12,MBA
Telesales,Lotus Business Solutions,Work From Home,Immediately,6,8000,No,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-09-15,BBA
Software Engineering,Quantom Research Capital,Noida,Immediately,6,12500,No,Hybrid,Urban,Research,"Communication, MS Excel, Research",2025-11-29,BCA
Human Resources (HR),LEARNYARD,Work From Home,Immediately,6,1000,No,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-10-26,BCom
General Management,LEARNYARD,Work From Home,Immediately,6,1000,No,Onsite,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-10-19,BCom
Corporate Sales,LEARNYARD,Work From Home,Immediately,6,1000,No,Hybrid,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-11-10,MBA
Business Development (Sales),LEARNYARD,Work From Home,Immediately,6,1000,No,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-09-29,MCA
Social Media Marketing,LEARNYARD,Work From Home,Immediately,6,1000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-10-30,BA
Facebook Marketing,LEARNYARD,Work From Home,Immediately,2 Weeks,1000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-09-23,BBA
Product Marketing,LEARNYARD,Work From Home,Immediately,2 Weeks,1000,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, PR Strategy, Media Relations",2025-11-04,MBA
Marketing,LEARNYARD,Work From Home,Immediately,2 Weeks,1000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-11-15,BA
Digital Marketing,LEARNYARD,Work From Home,Immediately,2 Weeks,1000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-10-30,BA
E-Commerce Marketing,LEARNYARD,Work From Home,Immediately,2 Weeks,1000,No,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, E-commerce Management, Product Listing",2025-11-13,BA
Online Marketing,LEARNYARD,Work From Home,Immediately,2 Weeks,1000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-11-16,MA
Subject Matter Expert (Accounts),Innovalance Learning Systems,Work From Home,Immediately,2 Weeks,15000,No,Onsite,Urban,Research,"Communication, MS Excel, Research",2025-10-29,MBA
Telesales Specialization,Lotus Business Solutions,Work From Home,Immediately,2 Weeks,5000,No,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-10-21,BBA
Piano Teaching,AgentInsights,Work From Home,Immediately,2 Weeks,1300,Yes,Hybrid,Urban,Data Scientist,"Teaching, Lesson Planning, Communication, Mentoring",2025-10-14,BCom
Content Editing,Avaesa,Work From Home,Immediately,2 Weeks,4000,Yes,Hybrid,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-11-11,MSc
PHP Development,Filium Enterprises Private Limited,Work From Home,Immediately,2 Weeks,10000,No,Hybrid,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",2025-10-22,BTech
Search Engine Optimization (SEO),Quadra Services,Greater Noida,Immediately,2 Weeks,5000,No,Onsite,Urban,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",2025-09-25,MA
