title,company_name,location,start_date,duration,stipend,ppo,workmode,region,domain,skills,deadline,degree,RIndex,No. of Positions,regional_language
Impact Leading,HappiMynd,Work From Home,Immediately,6,1000,No,Hybrid,Urban,Research,"Communication, MS Excel, Research",25-11-25,BCom,0.8,21,Hindi
Interior Design,The Design Palette,Bangalore,Immediately,6,5000,No,Hybrid,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",30-10-25,BBA,1,29,Kannada
Administration,Eagle Info Services,Work From Home,Immediately,6,12000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",09-11-25,MBA,1.3,23,Kannada
Flutter Development,Doozy,Thane,Immediately,6,8000,No,Hybrid,Rural,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",21-09-25,MTech,0.5,4,Hindi
Facebook Ads,Shimla Kufri Taxi Services,Work From Home,Immediately,6,3000,No,Onsite,Urban,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",02-12-25,BBA,0,11,Hindi
Graphic Design,Creativesplus,Kolkata,Immediately,6,4000,Yes,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",26-10-25,BBA,0.8,14,Bengali
Business Development (Sales),Onavid Digital,Work From Home,Immediately,6,3000,Yes,Remote,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",28-11-25,MCA,1,21,Hindi
SEO,Shimla To Kufri Taxi Service,Work From Home,Immediately,6,3000,Yes,Hybrid,Rural,Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",28-09-25,BA,1.3,21,Gujarati
Business Development (Sales),Avsar Ventures,Lucknow,Immediately,6,5000,No,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",14-09-25,BCA,0.3,1,Hindi
Business Development (Sales),Surya Upasana Yoga And Healing Center Private Limited,Work From Home,Immediately,6,1800,No,Remote,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",18-09-25,BCA,0.5,27,Punjabi
Appsheet & MIS,Combination Industries,Punewadi,Immediately,6," 1,000 /week",Yes,Remote,Urban,Research,"Communication, MS Excel, Research",12-11-25,MBA,0,8,Hindi
Digital Marketing,Pathfinder,Work From Home,Immediately,6,5000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",02-10-25,MBA,1,2,Telugu
Sales Development Representation,Driptor,Work From Home,Immediately,6,5000,No,Hybrid,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication, PR Strategy, Media Relations",02-10-25,MSc,0.8,1,Hindi
Business Development (Sales),MealGuide App,Work From Home,Immediately,6,5000,Yes,Onsite,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",30-11-25,BTech,1.1,11,Gujarati
Auditing & Accounting,Adjectus Services Private Limited,Hubli,Immediately,6,3000,No,Onsite,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation, Auditing, Accounting",06-12-25,BBA,1.1,20,Hindi
Photography,Parenting Innovations,Mumbai,Immediately,6,4000,No,Hybrid,Urban,Media & Entertainment,"Photography, Lightroom, Photoshop, Editing",30-10-25,BFA,1.1,13,Marathi
Web Content Writing,Echoinnovate IT,Ahmedabad,Immediately,6,5000,Yes,Remote,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",10-11-25,MSc,1,7,Gujarati
Digital Marketing,GMC,Jaipur,Immediately,6,6000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",26-09-25,MBA,0.5,6,Hindi
HR Recruitment,Turnahead Complete HR Solution,Ahmedabad,Immediately,6,3000,No,Onsite,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",27-09-25,MBA,1.3,19,Gujarati
Illustration & UI Design,Kormoan Private Limited,Delhi,Immediately,6,10000,No,Remote,Urban,Design,"UI Design, UX Research, Figma, Prototyping",02-10-25,BA,1.1,13,Hindi
Motion Graphic Design,Qtopia,Work From Home,Immediately,6,3000,Yes,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",30-10-25,MCom,0.8,26,Marathi
Civil Engineering,Olympiados Holding Corporation,Pune,Immediately,6,10000,No,Onsite,Urban,Research,"Communication, MS Excel, Research",12-11-25,BCom,0.8,24,Marathi
Mobile App Development,TechNexi,Bangalore,Immediately,6,15000,Yes,Hybrid,Urban,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",16-10-25,BCA,0.3,11,Kannada
Sales,Abbey Edge India Private Limited,Mohali,Immediately,6,3000,No,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",21-09-25,BCom,1.1,12,Hindi
Graphic Design & Brand Identity,Delta 4 Commerce,Work From Home,Immediately,6,6500,Yes,Hybrid,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",29-11-25,MBA,0.3,18,Marathi
Business Development (Sales),INDi Gulkaari,Work From Home,Immediately,6,1000,Yes,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",05-11-25,BSc,0,11,Tamil
Business Development (Sales),Vippy Industries Limited,Pune,Immediately,6,7000,Yes,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",17-11-25,BTech,0.5,16,Marathi
Content Creation,To Be Honest Circle,Work From Home,Immediately,6,1000,Yes,Hybrid,Rural,Social Media & Community Management,"Content Writing, Editing, Research, Content Strategy",28-09-25,MTech,1,16,Marathi
Finance/Accounting,FoodsCourt,Work From Home,Immediately,6,2500,No,Hybrid,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",22-09-25,MCom,1,14,Bengali
Business Strategy,Acuver Consulting,Bangalore,Immediately,6,17000,Yes,Onsite,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",23-10-25,MBA,1.3,20,Kannada
Marketing,SINCRO,Mumbai,Immediately,6,5000,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",14-11-25,MBA,0.8,10,Marathi
Remote Sales,Vignesh Iyer,Work From Home,Immediately,6,10000,Yes,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",18-09-25,MCom,0.8,15,Telugu
Human Resources (HR),OneKEE,Lucknow,Immediately,6,5000,Yes,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",28-09-25,MCom,0.5,16,Hindi
Human Resources (HR),Vidhun LEarnify Private Limited,Work From Home,Immediately,6,3000,Yes,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",24-10-25,MCom,0,10,Bengali
Motion Graphics/2D Isometric Animation,Billex Private Limited,Work From Home,Immediately,6,5000,Yes,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",26-10-25,MCom,0.5,9,Kannada
Shopify Web Development,Mittihub,Jaipur,Immediately,6,10000,No,Hybrid,Urban,Web Development,"HTML, CSS, JavaScript, React, E-commerce Management, Product Listing",06-11-25,MCA,1.1,26,Hindi
Graphic Design,Neelaveni Raghavan,Work From Home,Immediately,6,2500,Yes,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",04-10-25,BCom,0.8,20,Marathi
Videography,Pannalal Bengali And Other Grocery Stores OPC Private Limited,Work From Home,Immediately,6,3000,No,Onsite,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",20-10-25,MA,1.1,27,Bengali
Graphic Design,Jumpingminds AI Labs Private Limited,Gurgaon,Immediately,6,15000,Yes,Remote,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",02-10-25,MBA,0,29,Hindi
Video Editing,Vartika Mishra,Work From Home,Immediately,6,1200,Yes,Remote,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",10-10-25,BA,0.3,6,Malayalam
Content Marketing,IQnext,Bangalore,Immediately,6,12000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Content Writing, Editing",29-09-25,BBA,1,25,Kannada
Front End Development,Tech Anatix,Work From Home,Immediately,6,7000,No,Onsite,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",10-09-25,BSc,0.3,17,Marathi
Unreal Engine Level Design,Infinityhead Studios,Work From Home,Immediately,6,6000,No,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",15-10-25,BBA,0.5,29,Punjabi
Law/Legal,Augustus Law,Kolkata,Immediately,6,5000,No,Hybrid,Urban,Legal & Compliance,"Legal Research, Compliance, Drafting, Documentation",10-11-25,PhD,1.1,21,Bengali
Marketing,Alchemist Marketing & Talent Solutions,Mumbai,Immediately,6,10000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",15-11-25,MBA,1,18,Marathi
Fashion Influencing,Star Production,Work From Home,Immediately,6,7000,No,Hybrid,Urban,Research,"Communication, MS Excel, Research",11-09-25,MCom,1.1,28,Tamil
Design,CropBytes,Bangalore,Immediately,6,15000,No,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",27-11-25,BCom,0.5,8,Kannada
Digital Marketing,Crowddevelopers,Chennai,Immediately,6,7500,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",24-10-25,BA,1.3,29,Tamil
CS Management,Insure Efficient,Mumbai,Immediately,6,18000,No,Onsite,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",03-11-25,BCom,0,1,Marathi
Human Resources (HR),SAPKAI Consulting LLP,Mumbai,Immediately,6,15000,Yes,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",27-10-25,MBA,1.1,11,Marathi
Biotechnology Engineering,Mushloop,Salem,Immediately,6,3000,Yes,Remote,Rural,Research,"Communication, MS Excel, Research",11-10-25,BBA,0.2,9,Hindi
Company Secretary (CS),Professional Utilities,Delhi,Immediately,6,5000,Yes,Hybrid,Rural,Research,"Communication, MS Excel, Research",19-11-25,BCom,1,23,Hindi
Business Development (Sales),Digitals Daddy,Delhi,Immediately,6,3000,Yes,Hybrid,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",01-12-25,MSc,0,12,Hindi
Data Entry - Hindi / Punjabi Lyrics And Story Typing,CPARSEC,Work From Home,Immediately,6,1000,Yes,Remote,Rural,Data Science,"Communication, MS Excel, Research",03-10-25,MCom,0.5,21,Malayalam
Public Relations (PR),TellMe Digiinfotech Private Limited,Pune,Immediately,6,10000,No,Hybrid,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",08-10-25,MCom,1,22,Marathi
SaaS Marketing,LeoCooper,Work From Home,Immediately,6,5000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",01-11-25,MA,1,4,Hindi
Content Writing,Innovkraft - Crafting Innovation,Bangalore,Immediately,6,10000,No,Remote,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",30-09-25,MSc,0.8,19,Kannada
Sales Support,ProEves,Noida,Immediately,6,10000,Yes,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",25-11-25,BBA,1,7,Hindi
Media Planning,Khushi Advertising Ideas Private Limited,Ahmedabad,Immediately,6,12000,No,Hybrid,Urban,Research,"Communication, MS Excel, Research",16-11-25,MCom,0.3,28,Gujarati
Social Media Marketing,Zaisha,Delhi,Immediately,6,10000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",16-11-25,BA,1,18,Hindi
Human Resources (HR),Recenturesoft Infotech Private Limited,Ghaziabad,Immediately,6,5000,Yes,Remote,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",13-11-25,MCom,0.3,25,Hindi
Business Development (Telesales),Infigon Futures,Bangalore,Immediately,6,6000,No,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",16-11-25,MCA,0.5,13,Kannada
Equity Analyst,Stocnerv Learning Private Limited,Work From Home,Immediately,6,2000,No,Onsite,Rural,Design,"UI Design, UX Research, Figma, Prototyping",15-10-25,BBA,0.5,29,Kannada
Digital Marketing,CentoTech Services Private Limited,Hyderabad,Immediately,6,5000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",26-11-25,BBA,1,11,Telugu
Digital Marketing,Buildyug,Work From Home,Immediately,6,2000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",03-12-25,MBA,0.2,26,Telugu
Sales,Leafoberryy,Mumbai,Immediately,6,5000,Yes,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",10-11-25,BBA,1,18,Marathi
WordPress Development,Digitech24X7,Work From Home,Immediately,6,1000,Yes,Onsite,Rural,Web Development,"PR Strategy, Media Relations, Communication, Writing",22-11-25,BSc,1.3,19,Marathi
NodeJS Development,GB Tech Service,Kolkata,Immediately,6,8000,Yes,Onsite,Urban,Data Science,"Node.js, APIs, Databases, Server-side Development",15-11-25,BCA,0.3,8,Bengali
Recruitment Consultant,"Enlit Softech (Hyderabad, India)",Bangalore,Immediately,6,2000,No,Onsite,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",12-09-25,MBA,1.1,29,Kannada
Customer Service,Enagic India Kangen Water Private Limited,Bangalore,Immediately,6,20000,Yes,Hybrid,Rural,Operations & Support,"BPO, Customer Support, Communication, Call Handling",03-11-25,BCom,1.3,23,Kannada
Executive Assistant,Ssterling Workforce Enterprises Private Limited,Work From Home,Immediately,6,7000,No,Remote,Urban,Research,"Communication, MS Excel, Research",06-12-25,BBA,0.3,2,Bengali
Sales,Traumbuild Andesinfra Solutions Private Limited,Hyderabad,Immediately,6,5000,No,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",09-11-25,BCom,0,24,Telugu
Web Development - Full Stack Developer,Truly IAS,Work From Home,Immediately,6,5000,No,Onsite,Rural,Web Development,"HTML, CSS, JavaScript, React",25-11-25,BSc,1,4,Marathi
Financial Analytics (Equity/Equity Derivative/VDA),9 Ounce Fintech LLP,Mumbai,Immediately,6,8000,Yes,Hybrid,Urban,Research & Strategy,"Python, Data Analysis, SQL, Statistics, Data Visualization, UI Design",05-11-25,MCA,1.1,21,Marathi
Graphic Design,Touchline Technologies Private Limited,Chennai,Immediately,6,6000,Yes,Remote,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",18-10-25,MCom,1.1,1,Tamil
Human Resources (HR),Numetry Technologies,Work From Home,Immediately,6,1000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",07-10-25,BBA,0,26,Malayalam
Business Development Executive,Dazeinfo Media & Research Private Limited,Work From Home,Immediately,6,8000,No,Hybrid,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",16-10-25,BTech,0.8,13,Bengali
PLC Programming,Avlinq Solutions & Services Pvt Ltd,Noida,Immediately,6,10000,Yes,Hybrid,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",14-09-25,BCA,0.8,5,Hindi
Website Development,One Basket Marketing,Mumbai,Immediately,6,7500,No,Hybrid,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",06-12-25,MCA,0,19,Marathi
Human Resource,Malsar,Work From Home,Immediately,6,1500,No,Remote,Urban,Research,"Communication, MS Excel, Research",03-12-25,BCom,0.8,17,Punjabi
Architecture,Def Mount Studio,Indore,Immediately,6,6000,No,Hybrid,Rural,Architecture & Design,"Communication, MS Excel, Research",22-10-25,BBA,1,3,Hindi
Accounting & Bookkeeping,Shashank Manjarekar,Mumbai,Immediately,6,5000,Yes,Hybrid,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",27-11-25,BBA,0.8,2,Marathi
Website Handling And Product Listing,Monalisa Exports,Work From Home,Immediately,6,1000,Yes,Remote,Urban,Marketing,"E-commerce Management, Product Listing, SEO, Digital Marketing, PR Strategy, Media Relations",22-10-25,MBA,1.1,14,Telugu
Human Resources (HR),Stalwart People Company (SPC),Greater Noida,Immediately,6,4000,Yes,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",26-11-25,BCom,0.3,4,Hindi
Center Management,Sports Leap,Chennai,Immediately,6,2000,No,Hybrid,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",22-11-25,BCom,0,24,Tamil
Communication,Morbid,Work From Home,Immediately,6,1000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",25-10-25,MCom,1.3,19,Bengali
Lead Generation,Araana Home,Work From Home,Immediately,6,2000,Yes,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",16-09-25,MBA,0.2,15,Gujarati
Graphic Design,Maruti DreamKits,Work From Home,Immediately,6,4000,Yes,Hybrid,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",26-11-25,MBA,0.2,8,Kannada
Human Resources (HR),Transformatrix Global Private Limited,Mumbai,Immediately,6,5000,Yes,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",26-10-25,BBA,0.2,14,Marathi
Human Resources (HR),Canaffor Corporation,Mumbai,Immediately,6,5000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",06-12-25,BCom,0,21,Marathi
Content Writing And Video Editing,Life Tree Clinic,Work From Home,Immediately,6,2000,Yes,Hybrid,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy, Video Editing, Videography",03-10-25,MSc,1,12,Marathi
HR,Excellanto,Delhi,Immediately,6,8000,Yes,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",29-11-25,BCom,0,25,Hindi
Inside Sales,Cusmat,Bangalore,Immediately,6,10000,No,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",18-09-25,MCom,1.3,10,Kannada
Content Writing,Fabzen Technologies Private Limited,Bangalore,Immediately,6,10000,No,Hybrid,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",07-10-25,MTech,0.8,26,Kannada
Social Media Marketing,Golden Bright Star Private Limited,Work From Home,Immediately,6,1000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",08-11-25,MBA,1.3,26,Tamil
Business Development (Sales),LanceTech Solutions Private Limited,Work From Home,Immediately,6,3000,No,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",25-10-25,MTech,1,21,Gujarati
International Business Development,Acv Foods Private Limited,Bangalore,Immediately,3,15000,Yes,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication, MS Excel, Research",16-10-25,BCA,0.5,15,Kannada
Field Executive,Datawise Management Services India Private Limited,Work From Home,Immediately,3,5000,No,Onsite,Rural,Research,"Communication, MS Excel, Research",16-11-25,MCom,1,4,Marathi
Business Development (Sales),Home Drop,Guwahati,Immediately,3,2000,No,Onsite,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",10-09-25,MSc,1,16,Hindi
Sales,Epic Jr Edutech,Kalyan,Immediately,3,3000,No,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",06-10-25,MBA,1.1,17,Hindi
Academic Counseling,Exampil Solutions Private Limited,Work From Home,Immediately,3,1000,No,Remote,Rural,Research,"Communication, MS Excel, Research",12-10-25,BBA,1.3,7,Malayalam
Video Making/Editing,Sanskariezzz,Mumbai,Immediately,3,3000,Yes,Onsite,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",28-09-25,MA,1.1,3,Marathi
Embedded Software Engineering,Atlanta Systems Private Limited,Delhi,Immediately,3,15000,No,Hybrid,Rural,Research,"Communication, MS Excel, Research",01-11-25,BTech,1,1,Hindi
Digital Marketing (Ad Sales),Affnads Solutions Private Limited,Noida,Immediately,3,5000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",02-12-25,MA,1,29,Hindi
Industrial 3D Printing And Product Design,ZeQube,Chennai,Not specified,3,2000,No,Remote,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",02-10-25,MBA,0.8,23,Tamil
Sales executive,Pin Your Deal,Noida,Immediately,3,10000,Yes,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",30-09-25,BCom,1,25,Hindi
Video Making/Editing,Oceanista,Delhi,Immediately,3,2000,Yes,Onsite,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",16-09-25,MA,0.5,24,Hindi
Operations Analyst (Founder's Office),DIVINE BRANDS PRIVATE LIMITED,Ahmedabad,Immediately,3,13000,No,Onsite,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",22-09-25,BCom,0.2,3,Gujarati
Video Editing,Social Optix Solutions,Work From Home,Immediately,3,5000,Yes,Hybrid,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",19-10-25,BA,0,24,Kannada
Community Management,WeDigTech,Jaipur,Immediately,3,6000,No,Remote,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",24-10-25,MCom,0,13,Hindi
Embedded Software Development,Ayati Devices Private Limited,Bangalore,Immediately,3,10000,Yes,Onsite,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",13-10-25,MSc,0,13,Kannada
Accounting,Neewee,Bangalore,Immediately,3,15000,Yes,Hybrid,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",05-12-25,BBA,1,19,Kannada
Human Resources (HR),Larsen & Toubro,Mumbai,Immediately,3,5000,Yes,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",19-09-25,MCom,0.8,16,Marathi
Interior Design,Frameworkz Projects and Management Services Private Limited,Mumbai,Immediately,3,7000,Yes,Remote,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",07-12-25,MCom,0.3,12,Marathi
Business Development (Sales),Mbook Technology Private Limited,Work From Home,Immediately,3,8000,No,Hybrid,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",05-11-25,MTech,0.3,14,Gujarati
Copywriting,Barakhadee,Pune,Immediately,3,9000,No,Remote,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",10-10-25,MTech,0,14,Marathi
Business Development (Sales),BZ Consultant,Work From Home,Immediately,3,16500,No,Hybrid,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",26-11-25,MCA,1.1,22,Tamil
SEO Backlinks,Adapt Right,Work From Home,Immediately,3,1000,No,Hybrid,Rural,Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",09-11-25,BA,0.5,4,Telugu
Html/Xml Operations,Interactive Book Services Private Limited,Faridabad,Immediately,3,8000,Yes,Hybrid,Rural,Operations & Support,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis, HTML, CSS",30-10-25,MCA,0.2,8,Hindi
Data Operation,Kalpana Enterprises,Howrah,Immediately,3,5000,Yes,Onsite,Rural,Data Science,"Communication, MS Excel, Research",11-09-25,BBA,1.3,6,Hindi
Flutter Development,Dynish,Work From Home,Immediately,3,1000,No,Onsite,Urban,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",08-10-25,MCA,0,22,Telugu
Content Writing And Publishing On News Sites,Getposttop.com,Work From Home,Immediately,3,4000,Yes,Hybrid,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",15-11-25,MTech,0.2,22,Gujarati
WordPress Development,Foxdart,Bangalore,Immediately,3,6000,Yes,Onsite,Urban,Web Development,"PR Strategy, Media Relations, Communication, Writing",20-10-25,MSc,0,15,Kannada
Talent Acquisition,Promaynov Advisory Services Private Limited,Delhi,Immediately,3,5000,Yes,Remote,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",30-10-25,MBA,1.3,6,Hindi
Digital Marketing,Proplay.club,Work From Home,Immediately,3,3000,No,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",04-12-25,MA,0.8,7,Hindi
Social Media Video Creator And Marketing,Minhance Coaching & Consulting,Bangalore,Immediately,3,5000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",13-10-25,BA,0.2,17,Kannada
Digital Marketing,CapitalVia Fintech Private Limited,Indore,Immediately,3,5000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",28-09-25,MBA,1.1,7,Hindi
Video Editing,Canopus Media,Delhi,Immediately,3,15000,No,Remote,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",04-12-25,BA,0.2,10,Hindi
SEO Content Writing,Academedia,Work From Home,Immediately,3,10000,No,Remote,Rural,Content & Communication,"SEO, Keyword Research, Google Analytics, Content Optimization, Content Writing, Editing",08-10-25,MBA,0.2,11,Gujarati
Accounting & Bookkeeping,AMPLE PROPDEALS PRIVATE LIMITED,Delhi,Immediately,3,8000,No,Remote,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",07-12-25,BCom,0.3,15,Hindi
Retail Sales,DailyObjects,Gurgaon,Immediately,3,10000,Yes,Remote,Urban,Marketing,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis, Sales, Lead Generation",31-10-25,BSc,0,21,Hindi
Human Resources (HR),MYKNOT Services OPC Private Limited,Work From Home,Immediately,3,3000,No,Onsite,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",25-09-25,BBA,0,3,Punjabi
Video Making/Editing,Vinit Kapoor,Lucknow,Immediately,3,4000,Yes,Remote,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",17-11-25,BA,0.3,29,Hindi
Content Writing,Insightsbot Marketing Private Limited,Delhi,Immediately,3,7500,No,Hybrid,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",15-11-25,MTech,1.1,11,Hindi
Office Coordination,Shaildhar Telecom,Guwahati,Immediately,3,5000,No,Remote,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",01-10-25,MCom,1.1,24,Hindi
Influencer Marketing,Encompass Ideas,Mumbai,Immediately,3,5000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",28-10-25,MBA,1.3,3,Marathi
Customer Service,KoRaWrites,Gurgaon,Immediately,6,15000,Yes,Hybrid,Rural,Operations & Support,"BPO, Customer Support, Communication, Call Handling",02-11-25,MBA,0.2,21,Hindi
Youth Fellowship - For Girls,Milestone,Delhi,Immediately,6,3000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",28-10-25,MBA,0,17,Hindi
Social Media Marketing,SADRAG,Work From Home,Immediately,6,Unpaid,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",30-11-25,MA,0.3,24,Punjabi
Human Resources (HR),Hivyu Prive,Mumbai,Immediately,6,5000,No,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",23-10-25,MBA,0.2,29,Marathi
AI Automation Workflow,Qualitas Technologies Private Limited,Bangalore,Immediately,6,10000,No,Onsite,Urban,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",03-10-25,BTech,0,5,Kannada
